name,ticker,figi,lot,currency,class_code
Monarch Casino & Resort Inc,MCRI,BBG000BJ0932,1,usd,SPBXM
MicroVision,MVIS,BBG000BVKXQ5,1,usd,SPBXM
НЛМК,NLMK,BBG004S681B4,10,rub,TQBR
Белуга Групп ПАО ао,BELU,BBG000TY1CD1,1,rub,TQBR
MetLife,MET,BBG000BB6KF5,1,usd,SPBXM
Группа Черкизово,GCHE,BBG000RTHVK7,1,rub,TQBR
Weibo Corporation,WB,BBG0065XPGX9,1,usd,SPBXM
Лензолото - привилегированные акции,LNZLP,BBG000SR0YS4,1,rub,TQBR
Consensus Cloud Solutions,CCSI,BBG0105XBRH0,1,usd,SPBXM
Workhorse Group Inc,WKHS,BBG000BDPB15,1,usd,SPBXM
Baxter International,BAX,BBG000BCVJ77,1,usd,SPBXM
Adobe,ADBE,BBG000BB5006,1,usd,SPBXM
Insmed,INSM,BBG000BWM5P3,1,usd,SPBXM
American Eagle Outfitters Inc,AEO,BBG000BGXZB5,1,usd,SPBXM
McDonald’s,MCD,BBG000BNSZP1,1,usd,SPBXM
TCS Group,TCSG,BBG00QPYJ5H0,1,rub,TQBR
Global Net Lease REIT,GNL,BBG004HXD0G8,1,usd,SPBXM
Fulcrum Therapeutics,FULC,BBG00DDY1RK9,1,usd,SPBXM
Xylem,XYL,BBG001D8R5D0,1,usd,SPBXM
Intercontinental Exchange,ICE,BBG000C1FB75,1,usd,SPBXM
Siemens AG,SIE@DE,BBG000BCCT76,1,eur,SPBDE
NeoGenomics Inc,NEO,BBG000BKH263,1,usd,SPBXM
Viasat,VSAT,BBG000HHLBF9,1,usd,SPBXM
GoodRx Holdings Inc,GDRX,BBG00X0VP8D9,1,usd,SPBXM
Dun & Bradstreet Holdings,DNB,BBG00VCZX9Z6,1,usd,SPBXM
COCA-COLA,KO,BBG000BMX289,1,usd,SPBXM
Take-Two Interactive Software,TTWO,BBG000BS1YV5,1,usd,SPBXM
WEC Energy Group,WEC,BBG000BWP7D9,1,usd,SPBXM
AnaptysBio Inc,ANAB,BBG0026ZDHR0,1,usd,SPBXM
Palantir Technologies Inc,PLTR,BBG000N7QR55,1,usd,SPBXM
Univar Solutions Inc,UNVR,BBG000BDHD29,1,usd,SPBXM
Service Corp International/US,SCI,BBG000BTHH16,1,usd,SPBXM
Sinclair Broadcast Group Inc,SBGI,BBG000F2XXP2,1,usd,SPBXM
Herbalife Nutrition,HLF,BBG000MM5VL9,1,usd,SPBXM
LifeStance Health Group,LFST,BBG01138DGZ7,1,usd,SPBXM
"Fidelity National Financial, Inc.",FNF,BBG006N7S6K9,1,usd,SPBXM
Five9 Inc,FIVN,BBG001KHJM17,1,usd,SPBXM
Сургутнефтегаз - привилегированные акции,SNGSP,BBG004S681M2,100,rub,TQBR
ManTech International Corp VA,MANT,BBG000BGF8B5,1,usd,SPBXM
ESCO Technologies Inc.,ESE,BBG000C4S3P3,1,usd,SPBXM
