time,volume,open,close,high,low,last_trade_ts
2023-08-07 07:00:00+00:00,3715.0,2659.0,2676.5,2676.5,2659.0,2023-08-07 07:00:16.493343+00:00
2023-08-07 07:00:00+00:00,4031.0,2659.0,2678.0,2679.0,2659.0,2023-08-07 07:00:17.857464+00:00
2023-08-07 07:00:00+00:00,6947.0,2659.0,2688.5,2688.5,2659.0,2023-08-07 07:00:20.839971+00:00
2023-08-07 07:00:00+00:00,7926.0,2659.0,2688.0,2691.0,2659.0,2023-08-07 07:00:21.280653+00:00
2023-08-07 07:00:00+00:00,7941.0,2659.0,2688.0,2691.0,2659.0,2023-08-07 07:00:21.289283+00:00
2023-08-07 07:00:00+00:00,8486.0,2659.0,2689.5,2693.5,2659.0,2023-08-07 07:00:26.355890+00:00
2023-08-07 07:00:00+00:00,8513.0,2659.0,2691.5,2693.5,2659.0,2023-08-07 07:00:26.917580+00:00
2023-08-07 07:00:00+00:00,8910.0,2659.0,2694.5,2694.5,2659.0,2023-08-07 07:00:29.617277+00:00
2023-08-07 07:00:00+00:00,8936.0,2659.0,2694.5,2694.5,2659.0,2023-08-07 07:00:29.988656+00:00
2023-08-07 07:00:00+00:00,9632.0,2659.0,2694.5,2698.0,2659.0,2023-08-07 07:00:31.007853+00:00
2023-08-07 07:00:00+00:00,9633.0,2659.0,2694.5,2698.0,2659.0,2023-08-07 07:00:31.312654+00:00
2023-08-07 07:00:00+00:00,10098.0,2659.0,2694.0,2698.0,2659.0,2023-08-07 07:00:32.579727+00:00
2023-08-07 07:00:00+00:00,10101.0,2659.0,2695.0,2698.0,2659.0,2023-08-07 07:00:34.065640+00:00
2023-08-07 07:00:00+00:00,11612.0,2659.0,2699.0,2699.0,2659.0,2023-08-07 07:00:34.725312+00:00
2023-08-07 07:00:00+00:00,12228.0,2659.0,2699.5,2700.0,2659.0,2023-08-07 07:00:36.191859+00:00
2023-08-07 07:00:00+00:00,12262.0,2659.0,2697.0,2700.0,2659.0,2023-08-07 07:00:36.680653+00:00
2023-08-07 07:00:00+00:00,12942.0,2659.0,2697.0,2700.0,2659.0,2023-08-07 07:00:37.292058+00:00
2023-08-07 07:00:00+00:00,13060.0,2659.0,2698.0,2700.0,2659.0,2023-08-07 07:00:37.846026+00:00
2023-08-07 07:00:00+00:00,13194.0,2659.0,2700.0,2700.0,2659.0,2023-08-07 07:00:38.462283+00:00
2023-08-07 07:00:00+00:00,13195.0,2659.0,2698.5,2700.0,2659.0,2023-08-07 07:00:39.418473+00:00
2023-08-07 07:00:00+00:00,13251.0,2659.0,2700.0,2700.0,2659.0,2023-08-07 07:00:39.862692+00:00
